Date,Product,Violation,Firm
January 2017,BICYCLE TOY,Lead in Children's Product / FHSA,TIMES TIENDA LLC
January 2017,TOY BICYCLE,Lead in Children's Product / FHSA,TIMES TIENDA LLC
January 2017,DOLL WITH DOCTOR SET,Exceeds Phthalate Permanent Ban Limit,TIMES TIENDA LLC
January 2017,HORSE FIGURE,Exceeds Phthalate Interim Ban Limit,TIMES TIENDA LLC
January 2017,DOLL WITH FURNITURE SET,Exceeds Phthalate Permanent Ban Limit,TIMES TIENDA LLC
January 2017,PRINCESS DOLL,Exceeds Phthalate Permanent Ban Limit,TIMES TIENDA LLC
January 2017,BASKETBALL SET,Exceeds Phthalate Permanent Ban Limit,TIMES TIENDA LLC
January 2017,TOY TRUCK,Lead in Children's Product / FHSA,TIMES TIENDA LLC
January 2017,POLICE CAR,Lead in Children's Product / FHSA,TIMES TIENDA LLC
January 2017,POLICE MOTORCYCLE,Lead in Children's Product / FHSA,TIMES TIENDA LLC
January 2017,MUSICAL INSTRUMENT,Lead-in-Paint Toy/Children's Product/CPSA,TIMES TIENDA LLC
January 2017,ACTION FIGURE WITH MARBLES,Lead in Children's Product / FHSA,TIMES TIENDA LLC
January 2017,TOY BABY FITNESS RACK,Small Parts,TIMES TIENDA LLC
January 2017,TOY SHOTGUN,ASTM Toy Standard Violation,TIMES TIENDA LLC
January 2017,TOY SHOTGUN,ASTM Toy Standard Violation,TIMES TIENDA LLC
January 2017,TOY DOLL 9",Exceeds Phthalate Permanent Ban Limit,TIMES TIENDA LLC
January 2017,TOY DOLL 9",Exceeds Phthalate Permanent Ban Limit,TIMES TIENDA LLC
January 2017,TOY DOLL 11",Exceeds Phthalate Permanent Ban Limit,TIMES TIENDA LLC
January 2017,FROZEN DOLL,Exceeds Phthalate Permanent Ban Limit,TIMES TIENDA LLC
January 2017,DOLL AND TOY JEWELRY,Exceeds Phthalate Permanent Ban Limit,TIMES TIENDA LLC
January 2017,TOY DOLL 11",Exceeds Phthalate Permanent Ban Limit,TIMES TIENDA LLC
January 2017,PAINTING CANVAS,Art Materials Labeling,TIMES TIENDA LLC
January 2017,DISNEY SOFIA THE FIRST ROLLING,Lead in Children's Product / FHSA,BESTOYS
January 2017,BLACK KIDS SHOE,Lead in Children's Product / FHSA,TEANA INC
January 2017,BLACK KIDS SHOE,Lead in Children's Product / FHSA,TEANA INC
January 2017,BLACK TODDLER BOOTS (BLACK),Lead in Children's Product / FHSA,TEANA INC
January 2017,BLACK TODDLER BOOTS (TAN),Lead in Children's Product / FHSA,TEANA INC
January 2017,MAGIC BALL,Lead in Children's Product / FHSA,VELEO INTERNATIONAL
January 2017,CHILDREN'S CLOTHING GOWN,Clothing Standard Certificate Violation,BAILEY'Z
January 2017,CHILDREN'S CLOTHING BODYSUIT,Clothing Standard Certificate Violation,BAILEY'Z
January 2017,PLUSH DOLPHIN,Tracking Label Violation,MARDI GRAS BONANZA
January 2017,HALLOWEEN COSTUME,Lead in Children's Product / FHSA,L&Y USA
January 2017,SCALE R/C TRUCK,Lead in Children's Product / FHSA,SKY BILLIARDS
January 2017,WIZARD SAND REFILL BACKPACK,Lead in Children's Product / FHSA,RHYDE INC
January 2017,DINOSAUR SET,Lead in Children's Product / FHSA,GOFFA INTERNATIONAL
January 2017,GIRLS PLAY DOUGH SET,Art Materials Labeling,GOFFA INTERNATIONAL
January 2017,SPA,Failure of secondary back up system,SLEEP INN
January 2017,AQUASTAR DRAIN COVERS,Failure to install covers that meet ASME/ANSI,HOLIDAY INN EXPRESS
January 2017,WESTERN SET,Lead in Children's Product / FHSA,WX GROUP
January 2017,TOY GOLF SET,Small Ball Ban,TIMES TIENDA LLC
January 2017,BASKETBALL BOARD SET,Exceeds Phthalate Permanent Ban Limit,TIMES TIENDA LLC
January 2017,POLICE EQUIPMENT SET,Lead in Children's Product / FHSA,TIMES TIENDA LLC
January 2017,TOY GUN,Lead in Children's Product / FHSA,TIMES TIENDA LLC
January 2017,DOLL,Exceeds Phthalate Permanent Ban Limit,TIMES TIENDA LLC
January 2017,DOLL,Exceeds Phthalate Permanent Ban Limit,TIMES TIENDA LLC
January 2017,DOLL 3.5",Exceeds Phthalate Permanent Ban Limit,TIMES TIENDA LLC
January 2017,BABY BATH TUB AND DOLL,Exceeds Phthalate Permanent Ban Limit,TIMES TIENDA LLC
January 2017,ARMY TRUCK SET,Lead in Children's Product / FHSA,TIMES TIENDA LLC
January 2017,DOLL 11",Exceeds Phthalate Permanent Ban Limit,TIMES TIENDA LLC
January 2017,KITTY TELEPHONE,Small Parts,TIMES TIENDA LLC
January 2017,TOY FISHING POLE SET,Third Party Certificate Violation,TIMES TIENDA LLC
January 2017,ACTION FIGURE,Lead in Children's Product / FHSA,TIMES TIENDA LLC
January 2017,FISHING POLE AND FOOD BASKET,Third Party Certificate Violation,TIMES TIENDA LLC
January 2017,TOY GUN WITH SMALL BALLS,Misbranded Toys/Games w/Small Parts,TIMES TIENDA LLC
January 2017,TOY GUN WITH SMALL BALLS,Misbranded Toys/Games w/Small Parts,TIMES TIENDA LLC
January 2017,MINNIE MOUSE PIANO,Third Party Certificate Violation,TIMES TIENDA LLC
January 2017,HELLO KITTY PIANO,Third Party Certificate Violation,TIMES TIENDA LLC
January 2017,POOLS AND SPAS,Failure to install covers that meet ASME/ANSI,HILTON HOTEL
January 2017,PROJECTOR DESK,Art Materials Labeling,J. PICA AND CO - PUERTO RICO
January 2017,BLOCKS 50 PCS,Small Parts,ADIR INTERNATIONAL
January 2017,POOL EQUIPMENT,Failure to install covers that meet ASME/ANSI,SLEEP INN
January 2017,11.5" DOLL SET,Exceeds Phthalate Permanent Ban Limit,J. PICA AND CO
January 2017,17" DOLL SET ADVENTURE,Exceeds Phthalate Permanent Ban Limit,J. PICA AND CO
January 2017,BABY DOLL SET,Small Parts,MAGIC SOURCE INTERNATIONAL LTD
January 2017,ZOOT N SCOOT RIDE ON TRIKE,ASTM Toy Standard Violation,BULSON MANAGEMENT
January 2017,TABLE TOTS COMBO SET,Lead in Children's Product / FHSA,BULSON MANAGEMENT
January 2017,VARIOUS COLORED INFLATABLE CHI,Exceeds Phthalate Permanent Ban Limit,DIGITAL PRINTS USA INC
January 2017,BUBBLE GUN,ASTM Battery - Operated Toy,TOYS VAULT LLC
January 2017,CHILDREN CAR,Tracking Label Violation,SAM SUN TRADING LLC
January 2017,SERVICE RAILWAY,Tracking Label Violation,SAM SUN TRADING LLC
January 2017,BOXING SET,Tracking Label Violation,SAM SUN TRADING LLC
January 2017,MY DREAM CASTLE,Tracking Label Violation,SAM SUN TRADING LLC
January 2017,STUNT CAR,Tracking Label Violation,SAM SUN TRADING LLC
January 2017,ANIMAL ALLIANCE,Tracking Label Violation,SAM SUN TRADING LLC
January 2017,TUMBLE TRAIN,Tracking Label Violation,SAM SUN TRADING LLC
January 2017,DIV ELECTRIC TRACK,Tracking Label Violation,SAM SUN TRADING LLC
January 2017,CHILDREN CAR,Third Party Certificate Violation,SAM SUN TRADING LLC
January 2017,EQUALIZER LINE COVER,Failure to install covers that meet ASME/ANSI,FAIRFIELD INN
January 2017,DRAIN COVERS,Secondary back-up system not installed,COMFORT INN
December 2016,WONDER GEARS 3D BRAIN TEASER,Tracking Label Violation,BP INNOVATIONS
December 2016,WHITE MARY JANE SHOES- CHILDRE,Lead in Children's Product / FHSA,PROVIDENCE INTERNATIONAL CORP
December 2016,SILVER MARY JANE SHOES- CHILDR,Lead in Children's Product / FHSA,PROVIDENCE INTERNATIONAL CORP
December 2016,RED STRIPE BOW MARY JANE SHOES,Lead in Children's Product / FHSA,PROVIDENCE INTERNATIONAL CORP
December 2016,BATH TOYS,Lead in Children's Product / FHSA,PROVIDENCE INTERNATIONAL CORP
December 2016,PROJECTION LAMP,Tracking Label Violation,PROVIDENCE INTERNATIONAL CORP
December 2016,IPAD MINI CASE- RED,Tracking Label Violation,PROVIDENCE INTERNATIONAL CORP
December 2016,IPAD MINI CASE- ORANGE,Tracking Label Violation,PROVIDENCE INTERNATIONAL CORP
December 2016,IPAD MINI CASE- BLUE,Tracking Label Violation,PROVIDENCE INTERNATIONAL CORP
December 2016,IPAD MINI CASE- PINK,Tracking Label Violation,PROVIDENCE INTERNATIONAL CORP
December 2016,GIRLS BOOTS,Lead in Children's Product / FHSA,BEST RUNNING INC
December 2016,FRICTION CAR,Lead in Children's Product / FHSA,GIANT TOYS IMPORTS INC
December 2016,WOODEN SNAKE,Lead in Children's Product / FHSA,TOY INVESTMENTS INC. DBA TOYSMITH
December 2016,FRICTION CONSTRUCITON SET 3 PC,Lead in Children's Product / FHSA,MAGIC SOURCE INTERNATIONAL LTD
December 2016,SOLDIER FIGURE SET,Lead in Children's Product / FHSA,MAGIC SOURCE INTERNATIONAL LTD
December 2016,GIRL DRESS,Lead in Children's Product / FHSA,JOSE M. BROTONS
December 2016,BOYS PANT AND SHIRT SET,Lead in Children's Product / FHSA,JOSE M. BROTONS
December 2016,ARMY SET,Lead in Children's Product / FHSA,MAGIC SOURCE INTERNATIONAL LTD
December 2016,ARMY SET,Lead in Children's Product / FHSA,MAGIC SOURCE INTERNATIONAL LTD
December 2016,ARMY SET,Lead in Children's Product / FHSA,MAGIC SOURCE INTERNATIONAL LTD
December 2016,NINJA WEAPON SET,Extremely Flammable Contact Adhesives Ban,MAGIC SOURCE INTERNATIONAL LTD
December 2016,CIGARETTE LIGHTERS,Lighter Reporting,AFRICAN SPECIALTY IMPORTS LLC DBA KUDU S
December 2016,BOYS SHIRT AND PANT SET,Lead in Children's Product / FHSA,BAMBI - PUERTO RICO
December 2016,10 PC BAND DRUM SET,Small Parts,BROOKLYN LOLLIPOPS IMPORT CORP
December 2016,GIRLS HOODIE WITH ZIPPER,Lead-in-Paint Toy/Children's Product/CPSA,GLOBALTEX KIDS LLC
December 2016,DRESS,Lead in Children's Product / FHSA,GLOBALTEX KIDS LLC
December 2016,DRESS,Lead in Children's Product / FHSA,GLOBALTEX KIDS LLC
December 2016,GIRLS TOP AND LEGGINGS,Lead in Children's Product / FHSA,GLOBALTEX KIDS LLC
December 2016,GIRLS TOP AND LEGGINGS,Lead in Children's Product / FHSA,GLOBALTEX KIDS LLC
December 2016,GIRLS TOP,Lead in Children's Product / FHSA,GLOBALTEX KIDS LLC
December 2016,GIRLS TOP AND LEGGINGS,Lead in Children's Product / FHSA,GLOBALTEX KIDS LLC
December 2016,GIRLS TOP AND LEGGINGS,Lead in Children's Product / FHSA,GLOBALTEX KIDS LLC
December 2016,DRESS,Lead in Children's Product / FHSA,GLOBALTEX KIDS LLC
December 2016,DRESS,Lead in Children's Product / FHSA,GLOBALTEX KIDS LLC
December 2016,GIRLS TOP AND LEGGING SET,Tracking Label Violation,GLOBALTEX KIDS LLC
December 2016,MY FIRST FASHION PERFECT DOLL,Exceeds Phthalate Permanent Ban Limit,EVERBRIGHT TRADING INC
December 2016,FASHION PERFECT DOLL SET,Lead in Children's Product / FHSA,EVERBRIGHT TRADING INC
December 2016,MY FIRST FASHION PERFECT DOLL,Lead in Children's Product / FHSA,EVERBRIGHT TRADING INC
December 2016,FASHION PERFECT DOLL SET,Lead in Children's Product / FHSA,EVERBRIGHT TRADING INC
December 2016,MY FIRST FASHION PERFECT DOLL,Lead in Children's Product / FHSA,EVERBRIGHT TRADING INC
December 2016,BABY BATHTUB / BASIN,Tracking Label Violation,OPIF - OUR PLASTIC IS FANTASTIC
December 2016,PLASTIC ARCHERY PLAYSET,Lead in Children's Product / FHSA,AMERI-CHINA INTERNATIONAL
December 2016,PLASTIC ARCHERY PLAYSET,Lead in Children's Product / FHSA,AMERI-CHINA INTERNATIONAL
December 2016,KIDS TENT,Lead in Children's Product / FHSA,NATURE SCIENCE & TECHNOLOGY USA
December 2016,KIDS TENT,Lead in Children's Product / FHSA,NATURE SCIENCE & TECHNOLOGY USA
December 2016,TODDLER BLOOD THIRSTY VAMPIRE,Lead in Children's Product / FHSA,FUN.COM
December 2016,SOLDIER TOY SET,Lead in Children's Product / FHSA,FARMACIAS ALIADAS
December 2016,FRICTION CAR SET,Lead in Children's Product / FHSA,FARMACIAS ALIADAS
December 2016,FRICTION TRUCK SET,Art Materials Labeling,FARMACIAS ALIADAS
December 2016,FRICTION ATV SET,Lead in Children's Product / FHSA,FARMACIAS ALIADAS
December 2016,FRICTION TRUCK SET,Lead in Children's Product / FHSA,FARMACIAS ALIADAS
December 2016,R/C CAR,Lead in Children's Product / FHSA,FARMACIAS ALIADAS
December 2016,FRICTION TRUCK,Lead in Children's Product / FHSA,FARMACIAS ALIADAS
December 2016,CLAY SET,Art Materials Labeling,FARMACIAS ALIADAS
December 2016,CLAY SET,Art Materials Labeling,FARMACIAS ALIADAS
December 2016,TOY CASH REGISTER,Tracking Label Violation,FARMACIAS ALIADAS
December 2016,CUDDLE & KIND PLUSH,Tracking Label Violation,STALCO INC
December 2016,GIRLS COTTON PAJAMAS,Exceeds Tight Fitting Dimensions,KARMIN INDUSTRIES DBA 4283147 CANADA
December 2016,BOYS L/S T-SHIRT,Tracking Label Violation,KARMIN INDUSTRIES DBA 4283147 CANADA
December 2016,GIRLS CRITTER PAJAMAS WITH POC,Sleepwear Flammability Failure,KARMIN INDUSTRIES DBA 4283147 CANADA INC
December 2016,GAME CHAMPION REMOTE CONTROL C,Tracking Label Violation,MIAMI PRO CELL
December 2016,CHEETAH TRANSMITTER TOY WATER,Tracking Label Violation,MIAMI PRO CELL
December 2016,KIS PLAY TRAY,Lead in Children's Product / FHSA,WAYLI INTERNATIONALINC
December 2016,KIDS CHAIR,Lead-in-Paint Toy/Children's Product/CPSA,TIMES TIENDA LLC
December 2016,PLUSH TOY,Tracking Label Violation,BENTENG INC
December 2016,BUSTING OUT 3" 9 SHOTS,Fireworks Fuse Side Ignition,SLAY'S FIREWORKS
December 2016,HOLDEM OR FOLDEM,Fireworks Short Fuse Burn Time,SLAY'S FIREWORKS
December 2016,MAXIMUM LOAD ARTILLERY SHELL,Pyrotechnic Leakage,PHOENIX IMPORTS
December 2016,PUSHING TRAIN,Small Parts,VAN THAI
December 2016,TODDLER SHOES,Tracking Label Violation,PUKA CREATIONS
December 2016,TOY PRINCESS TENT,Lead in Children's Product / FHSA,MUSTANG BAY PRODUCTS LLC
December 2016,STUFFED TOY ANIMAL,Tracking Label Violation,TWELVE OAKS PLANTATION LLC
December 2016,STUFFED TOY ANIMAL,Tracking Label Violation,TWELVE OAKS PLANTATION LLC
December 2016,STUFFED TOY ANIMAL,Tracking Label Violation,TWELVE OAKS PLANTATION LLC
December 2016,STUFFED TOY ANIMAL,Tracking Label Violation,TWELVE OAKS PLANTATION LLC
December 2016,WHITE BATH ROBE,Sleepwear Flammability Failure,MAJESTIC INTERNATIONAL USA INC
December 2016,BABY GARMENT,Tracking Label Violation,CAT & DOGMA
December 2016,BABY GARMENT,Tracking Label Violation,CAT & DOGMA
December 2016,BABY BATH SEAT,Durable Nursery Product - Bath Seats,LEXIBOOK AMERICA
December 2016,DRAIN COVER,Failure to install covers that meet ASME/ANSI,COMFORT INN
December 2016,DOLL WITH PACIFIER,Small Parts,MAGIC SOURCE INTERNATIONAL LTD
December 2016,DOLL WITH STROLLER,Small Parts,MAGIC SOURCE INTERNATIONAL LTD
December 2016,DOLL WITH STROLLER,Small Parts,MAGIC SOURCE INTERNATIONAL LTD
December 2016,MAGNETIC PIECES,Tracking Label Violation,GLENN DICKERSON
December 2016,KARE & KIND MY 1ST BABY BUCKET,Third Party Certificate Violation,OEM TECH BARGAINS LLC
December 2016,KARE & KIND SAND CASTLE MOLDS/,Third Party Certificate Violation,OEM TECH BARGAINS LLC
December 2016,TOY DOLL,Exceeds Phthalate Permanent Ban Limit,RUNWAY CURLS
December 2016,POOL/SPA DRAIN COVERS,Secondary back-up system not installed,WILLOW TREE LODGE
December 2016,SWIMMING POOL,Failure to install covers that meet ASME/ANSI,HOLIDAY INN
December 2016,CHILDREN'S LUGGAGE,Third Party Certificate Violation,BRUBAKER HOMESHOPPING INC
December 2016,PIPER COMPUTER KIT,Lead in Children's Product / FHSA,PIPER INC
December 2016,CHILDRENS ROBE,Sleepwear Policy,KATE QUINN ORGANICS
December 2016,CHILDRENS ROBE,Sleepwear Policy,KATE QUINN ORGANICS
December 2016,CHILDREN'S PAJAMA SET,Exceeds Tight Fitting Dimensions,KATE QUINN ORGANICS
December 2016,FLYING UFO,Tracking Label Violation,BLINDEYE PROMOTIONS LLC
